"","Tray","Sample","ID","Dye","Vol_ml","well","1","2","3","n","meanOD","m","b","r","Tray","Protein","well","Protein_b","rsq_b","Protein_mgml"
"A126",9,4,"s1_pcyl_3","NEW_660",5,"9.4",0.3948,0.3596,0.2877,4,0.347366666666667,0.7077,0.081,0.999,"9",0.376383590033442,"9.4",0.358542668804561,0.999,0.367463129419001
"B126",9,5,"s1_pcyl_4","NEW_660",5,"9.5",0.3464,0.3745,0.3871,5,0.369333333333333,0.7077,0.081,0.999,"9",0.407423107719844,"9.5",0.401300552289328,0.999,0.404361830004586
"C126",9,6,"s1_poc_2","NEW_660",5,"9.6",0.6128,0.613,0.5746,6,0.600133333333333,0.7077,0.081,0.999,"9",0.733549997644953,"9.6",0.729289150187066,0.999,0.731419573916009
"D126",9,7,"s1_acrop_3","NEW_660",5,"9.7",0.5141,0.5277,0.5072,7,0.516333333333333,0.7077,0.081,0.999,"9",0.615138241251001,"9.7",0.611927667913772,0.999,0.613532954582386
"E126",9,8,"s1_brug_3","NEW_660",5,"9.8",0.5152,0.5253,0.491,8,0.5105,0.7077,0.081,0.999,"9",0.606895577221987,"9.8",0.605603064314983,0.999,0.606249320768485
"F127",9,9,"s1_poc_1","NEW_660",5,"9.9",0.6911,0.6289,0.6052,9,0.641733333333333,0.7077,0.081,0.999,"9",0.792331967406152,"9.9",0.801754854801354,0.999,0.797043411103753
"G127",9,10,"s1_pcyl_1","NEW_660",5,"9.10",0.3104,0.3287,0.281,10,0.3067,0.7077,0.081,0.999,"9",0.318920446516886,"9.10",0.310395510422234,0.999,0.31465797846956
"H127",9,11,"s1_brug_2","NEW_660",5,"9.11",0.2389,0.2476,0.2396,11,0.242033333333333,0.7077,0.081,0.999,"9",0.2275446281381,"9.11",0.22367717797969,0.999,0.225610903058895
"A226",9,12,"s1_stag_1","NEW_660",5,"9.12",0.4708,0.4779,0.4898,12,0.4795,0.7077,0.081,0.999,"9",0.56309170552494,"9.12",0.571886691608765,0.999,0.567489198566853
"B226",9,13,"s5_stag_1","NEW_660",5,"9.13",0.4586,0.4501,0.4399,13,0.449533333333333,0.7077,0.081,0.999,"9",0.520747962884461,"9.13",0.527035453411723,0.999,0.523891708148092
"C226",9,14,"s5_pdam_3","NEW_660",5,"9.14",0.3852,0.3699,0.3758,14,0.376966666666667,0.7077,0.081,0.999,"9",0.418209222363525,"9.14",0.422902191341529,0.999,0.420555706852527
"D226",9,15,"s7_pver_1","NEW_660",5,"9.15",0.5232,0.525,0.4972,15,0.515133333333333,0.7077,0.081,0.999,"9",0.613442607507889,"9.15",0.619989310529129,0.999,0.616715959018509
"E226",9,16,"s7_pver_2","NEW_660",5,"9.16",0.3868,0.4018,0.3915,16,0.393366666666667,0.7077,0.081,0.999,"9",0.441382883519382,"9.16",0.452699091394976,0.999,0.447040987457179
