Date,Site.N,Site,Location,Bag,Genus,Species,Species_TB,Plot,Photo.1,Photo.2,Tag,ID,Dewer
10/02/2019,Site 2,Pats Dropoff,Outer,25,Acropora,Acropora cf. hyacinthus,Acropora cf. hyacinthus,2,IMG_1467,IMG_1468,4,s2_hya_4,green
10/02/2019,Site 2,Pats Dropoff,Outer,6,Porites,Porites cf. cylindrica,Porites cf. cylindrica,1,IMG_1449,IMG_1450,3,s2_pcyl_3,green
10/02/2019,Site 2,Pats Dropoff,Outer,11,Pocillopora,Pocillopora cf. damicornis,Pocillopora cf. damicornis,2,IMG_1463,IMG_1464,1,s2_pdam_1,green
10/02/2019,Site 2,Pats Dropoff,Outer,10,Pocillopora,Pocillopora cf. damicornis,Pocillopora cf. damicornis,2,IMG_1459,IMG_1460,2,s2_pdam_2,green
10/02/2019,Site 2,Pats Dropoff,Outer,13,Pocillopora,Pocillopora cf. damicornis,Pocillopora cf. damicornis,2,IMG_1471,IMG_1472,3,s2_pdam_3,green
10/02/2019,Site 2,Pats Dropoff,Outer,9,Porites,Porites cf. rus,Porites cf. rus,1,IMG_1453,IMG_1454,1,s2_prus_1,green
10/02/2019,Site 2,Pats Dropoff,Outer,7,Porites,Porites cf. rus,Porites cf. rus,1,IMG_1447,IMG_1448,2,s2_prus_2,green
10/02/2019,Site 2,Pats Dropoff,Outer,8,Porites,Porites cf. rus,Porites cf. rus,1,IMG_1451,IMG_1452,3,s2_prus_3,green
10/02/2019,Site 2,Pats Dropoff,Outer,12,Pocillopora,Pocillopora cf. verrucosa,Pocillopora cf. verrucosa,2,IMG_1465,IMG_1466,1,s2_pver_1,green
10/02/2019,Site 2,Pats Dropoff,Outer,13,Pocillopora,Pocillopora cf. verrucosa,Pocillopora cf. verrucosa,2,IMG_1469,IMG_1470,2,s2_pver_2,green
10/02/2019,Site 2,Pats Dropoff,Outer,21,Acropora,Acropora cf. muricata,Acropora cf. muricata,1,IMG_1483,IMG_1484,1,s2_stag_1,green
10/02/2019,Site 2,Pats Dropoff,Outer,19,Acropora,Acropora cf. muricata,Acropora cf. muricata,1,IMG_1479,IMG_1480,2,s2_stag_2,green
10/02/2019,Site 2,Pats Dropoff,Outer,20,Acropora,Acropora cf. muricata,Acropora cf. muricata,1,IMG_1481,IMG_1482,3,s2_stag_3,green
10/02/2019,Site 2,Pats Dropoff,Outer,18,Acropora,Acropora cf. muricata,Acropora cf. muricata,1,IMG_1475,IMG_1476,4,s2_stag_4,green
10/02/2019,Site 2,Pats Dropoff,Outer,15,Acropora,Acropora cf. tenuis,Acropora cf. tenuis,1,IMG_1485,IMG_1486,1,s2_ten_1,green
10/02/2019,Site 2,Pats Dropoff,Outer,17,Acropora,Acropora cf. tenuis,Acropora cf. tenuis,1,IMG_1491,IMG_1492,2,s2_ten_2,green
10/02/2019,Site 2,Pats Dropoff,Outer,16,Acropora,Acropora cf. tenuis,Acropora cf. tenuis,1,IMG_1487,IMG_1488,3,s2_ten_3,green
11/02/2019,Site 3,Mutmelachel,Lagoon,4,Isopora,Isopora cf. brueggemanni,Isopora cf. brueggemanni,2,IMG_1505,IMG_1506,1,s3_brug_1,blue
11/02/2019,Site 3,Mutmelachel,Lagoon,5,Isopora,Isopora cf. brueggemanni,Isopora cf. brueggemanni,1,IMG_1513,IMG_1514,2,s3_brug_2,blue
11/02/2019,Site 3,Mutmelachel,Lagoon,6,Isopora,Isopora cf. brueggemanni,Isopora cf. brueggemanni,1,IMG_1515,IMG_1516,3,s3_brug_3,blue
11/02/2019,Site 3,Mutmelachel,Lagoon,7,Isopora,Isopora cf. brueggemanni,Isopora cf. brueggemanni,1,IMG_1523,IMG_1524,4,s3_brug_4,blue
11/02/2019,Site 3,Mutmelachel,Lagoon,18,Acropora,Acropora cf. subglabra,Acropora cf. subglabra,2,IMG_1548,NA,1,s3_card_1,blue
11/02/2019,Site 3,Mutmelachel,Lagoon,17,Acropora,Acropora cf. subglabra,Acropora cf. subglabra,2,IMG_1546,IMG_1547,2,s3_card_2,blue
11/02/2019,Site 3,Mutmelachel,Lagoon,21,Acropora,Acropora cf. subglabra,Acropora cf. subglabra,3,IMG_1565,IMG_1566,3,s3_card_3,blue
11/02/2019,Site 3,Mutmelachel,Lagoon,1,Acropora,Acropora cf. hyacinthus,Acropora cf. hyacinthus,2,IMG_1502,IMG_1503,1,s3_hya_1,blue
11/02/2019,Site 3,Mutmelachel,Lagoon,2,Acropora,Acropora cf. hyacinthus,Acropora cf. hyacinthus,2,IMG_1542,IMG_1543,2,s3_hya_2,blue
11/02/2019,Site 3,Mutmelachel,Lagoon,3,Acropora,Acropora cf. hyacinthus,Acropora cf. hyacinthus,3,IMG_1559,IMG_1560,3,s3_hya_3,blue
11/02/2019,Site 3,Mutmelachel,Lagoon,9,Porites,Porites cf. cylindrica,Porites cf. cylindrica,1,IMG_1511,IMG_1512,1,s3_pcyl_1,blue
11/02/2019,Site 3,Mutmelachel,Lagoon,8,Porites,Porites cf. cylindrica,Porites cf. cylindrica,2,IMG_1507,IMG_1508,2,s3_pcyl_2,blue
11/02/2019,Site 3,Mutmelachel,Lagoon,10,Porites,Porites cf. cylindrica,Porites attenuata,1,IMG_1521,IMG_1522,3,s3_pcyl_3,blue
11/02/2019,Site 3,Mutmelachel,Lagoon,11,Porites,Porites cf. cylindrica,Porites attenuata,2,IMG_1536,IMG_1537,4,s3_pcyl_4,blue
11/02/2019,Site 3,Mutmelachel,Lagoon,3,Pocillopora,Pocillopora cf. damicornis,Pocillopora cf. damicornis,3,IMG_1562,IMG_1563,1,s3_pdam_1,blue
11/02/2019,Site 3,Mutmelachel,Lagoon,25,Pocillopora,Pocillopora cf. damicornis,Pocillopora cf. damicornis,1,IMG_1526,IMG_1527,2,s3_pdam_2,blue
11/02/2019,Site 3,Mutmelachel,Lagoon,16,Pocillopora,Pocillopora cf. damicornis,Pocillopora cf. damicornis,2,IMG_1544,IMG_1545,3,s3_pdam_3,blue
11/02/2019,Site 3,Mutmelachel,Lagoon,21,Porites,Porites cf. rus,Porites cf. rus,2,IMG_1549,IMG_1550,1,s3_prus_1,blue
11/02/2019,Site 3,Mutmelachel,Lagoon,19,Porites,Porites cf. rus,Porites cf. rus,2,IMG_1538,IMG_1539,3,s3_prus_3,blue
11/02/2019,Site 3,Mutmelachel,Lagoon,23,Acropora,Acropora cf. muricata,Acropora cf. muricata,1,IMG_1532,IMG_1533,1,s3_stag_1,blue
11/02/2019,Site 3,Mutmelachel,Lagoon,24,Acropora,Acropora cf. muricata,Acropora cf. muricata,2,IMG_1534,IMG_1535,2,s3_stag_2,blue
11/02/2019,Site 3,Mutmelachel,Lagoon,22,Acropora,Acropora cf. muricata,Acropora cf. muricata,1,IMG_1528,IMG_1529,3,s3_stag_3,blue
11/02/2019,Site 3,Mutmelachel,Lagoon,15,Acropora,Acropora cf. tenuis,Acropora cf. tenuis,1,IMG_1530,IMG_1531,1,s3_ten_1,blue
11/02/2019,Site 3,Mutmelachel,Lagoon,12,Acropora,Acropora cf. tenuis,Acropora cf. tenuis,2,IMG_1509,IMG_1510,2,s3_ten_2,blue
11/02/2019,Site 3,Mutmelachel,Lagoon,13,Acropora,Acropora cf. tenuis,Acropora cf. tenuis,1,IMG_1517,IMG_1518,3,s3_ten_3,blue
11/02/2019,Site 3,Mutmelachel,Lagoon,14,Acropora,Acropora cf. tenuis,Acropora cf. tenuis,1,IMG_1519,IMG_1520,4,s3_ten_4,blue
12/02/2019,Site 4a,Venture Lake outside,Inner,12,Anacropora,Anacropora spinosa,Anacropora spinosa,2,IMG_1681,IMG_1682,1,s4a_anac_1,yellow
12/02/2019,Site 4a,Venture Lake outside,Inner,11,Anacropora,Anacropora spinosa,Anacropora spinosa,2,IMG_1679,IMG_1680,2,s4a_anac_2,yellow
12/02/2019,Site 4a,Venture Lake outside,Inner,4,Isopora,Isopora cf. brueggemanni,Isopora cf. brueggemanni,3,IMG_1687,IMG_1688,1,s4a_brug_1,yellow
12/02/2019,Site 4a,Venture Lake outside,Inner,5,Isopora,Isopora cf. brueggemanni,Isopora cf. brueggemanni,3,IMG_1689,IMG_1690,2,s4a_brug_2,yellow
12/02/2019,Site 4a,Venture Lake outside,Inner,3,Isopora,Isopora cf. brueggemanni,Isopora cf. brueggemanni,3,IMG_1685,IMG_1686,3,s4a_brug_3,yellow
12/02/2019,Site 4a,Venture Lake outside,Inner,14,Acropora,Acropora cf. subglabra,Acropora cf. subglabra,1,IMG_1653,IMG_1654,1,s4a_card_1,yellow
12/02/2019,Site 4a,Venture Lake outside,Inner,13,Acropora,Acropora cf. subglabra,Acropora cf. subglabra,1,IMG_1651,IMG_1652,2,s4a_card_2,yellow
12/02/2019,Site 4a,Venture Lake outside,Inner,15,Acropora,Acropora cf. subglabra,Acropora cf. subglabra,1,IMG_1655,IMG_1656,3,s4a_card_3,yellow
12/02/2019,Site 4a,Venture Lake outside,Inner,16,Goniastrea,Goniastrea spp.,Goniastrea cf. favulus,1,IMG_1700,NA,1,s4a_goni_1,yellow
12/02/2019,Site 4a,Venture Lake outside,Inner,17,Goniastrea,Goniastrea spp.,Goniastrea cf. favulus,1,IMG_1701,IMG_1702,2,s4a_goni_2,red
12/02/2019,Site 4a,Venture Lake outside,Inner,5,Porites,Porites cf. cylindrica,Porites cf. cylindrica,1,IMG_1661,IMG_1662,1,s4a_pcyl_1,yellow
12/02/2019,Site 4a,Venture Lake outside,Inner,3,Porites,Porites cf. cylindrica,Porites cf. cylindrica,1,IMG_1664,IMG_1665,2,s4a_pcyl_2,yellow
12/02/2019,Site 4a,Venture Lake outside,Inner,6,Porites,Porites cf. cylindrica,Porites cf. cylindrica,1,IMG_1663,NA,3,s4a_pcyl_3,yellow
12/02/2019,Site 4a,Venture Lake outside,Inner,9,Pocillopora,Pocillopora cf. damicornis,Pocillopora cf. damicornis,2,IMG_1668,IMG_1670,1,s4a_pdam_1,yellow
