"","Location","Site","Circle","Transect","Species","cover","n","SiteID"
"178","Lagoon","Falcon Reef",1,3,"Other Scleractinia",0,0,"E"
"179","Lagoon","Falcon Reef",1,3,"Pocillopora cf. damicornis",0,0,"E"
"180","Lagoon","Falcon Reef",1,3,"Pocillopora cf. verrucosa",0,0,"E"
"181","Lagoon","Falcon Reef",1,3,"Porites cf. cylindrica",50.2,7,"E"
"182","Lagoon","Falcon Reef",1,3,"Porites Massive",0,0,"E"
"183","Lagoon","Falcon Reef",1,3,"Porites cf. nigrescens",0,0,"E"
"184","Lagoon","Falcon Reef",1,3,"Porites cf. rus",15,7,"E"
"186","Lagoon","Falcon Reef",1,3,"Stylophora cf. pistillata",0,0,"E"
"188","Lagoon","Mutmelachel",4,1,"Acropora cf. subglabra",0,0,"D"
"189","Lagoon","Mutmelachel",4,1,"Acropora cf. humilis",0,0,"D"
"190","Lagoon","Mutmelachel",4,1,"Acropora cf. hyacinthus",0,0,"D"
"191","Lagoon","Mutmelachel",4,1,"Acropora cf. muricata",16.5,3,"D"
"192","Lagoon","Mutmelachel",4,1,"Acropora cf. tenuis",1.5,1,"D"
"193","Lagoon","Mutmelachel",4,1,"Agariciidae",0,0,"D"
"194","Lagoon","Mutmelachel",4,1,"Anacropora spinosa",0,0,"D"
"197","Lagoon","Mutmelachel",4,1,"Fungiidae",0,0,"D"
"199","Lagoon","Mutmelachel",4,1,"Goniastrea spp.",0,0,"D"
"202","Lagoon","Mutmelachel",4,1,"Isopora cf. brueggemanni",11.7,2,"D"
"203","Lagoon","Mutmelachel",4,1,"Lobophyllia spp.",0,0,"D"
"205","Lagoon","Mutmelachel",4,1,"Montipora",2.2,2,"D"
"206","Lagoon","Mutmelachel",4,1,"Other Lobophyllidae",0,0,"D"
"207","Lagoon","Mutmelachel",4,1,"Other Merulinidae",0,0,"D"
"208","Lagoon","Mutmelachel",4,1,"Other Pocillopora",0,0,"D"
"209","Lagoon","Mutmelachel",4,1,"Other Scleractinia",0,0,"D"
"210","Lagoon","Mutmelachel",4,1,"Pocillopora cf. damicornis",3.5,2,"D"
"211","Lagoon","Mutmelachel",4,1,"Pocillopora cf. verrucosa",0,0,"D"
"212","Lagoon","Mutmelachel",4,1,"Porites cf. cylindrica",17.9,2,"D"
"213","Lagoon","Mutmelachel",4,1,"Porites Massive",6.4,1,"D"
"214","Lagoon","Mutmelachel",4,1,"Porites cf. nigrescens",0,0,"D"
"215","Lagoon","Mutmelachel",4,1,"Porites cf. rus",5.5,3,"D"
"217","Lagoon","Mutmelachel",4,1,"Stylophora cf. pistillata",0,0,"D"
"219","Lagoon","Mutmelachel",4,2,"Acropora cf. subglabra",0,0,"D"
"220","Lagoon","Mutmelachel",4,2,"Acropora cf. humilis",0,0,"D"
"221","Lagoon","Mutmelachel",4,2,"Acropora cf. hyacinthus",0,0,"D"
"222","Lagoon","Mutmelachel",4,2,"Acropora cf. muricata",44.3,4,"D"
"223","Lagoon","Mutmelachel",4,2,"Acropora cf. tenuis",1.05,1,"D"
"224","Lagoon","Mutmelachel",4,2,"Agariciidae",0,0,"D"
"225","Lagoon","Mutmelachel",4,2,"Anacropora spinosa",0,0,"D"
"228","Lagoon","Mutmelachel",4,2,"Fungiidae",0,0,"D"
"230","Lagoon","Mutmelachel",4,2,"Goniastrea spp.",0,0,"D"
"233","Lagoon","Mutmelachel",4,2,"Isopora cf. brueggemanni",0,0,"D"
"234","Lagoon","Mutmelachel",4,2,"Lobophyllia spp.",0,0,"D"
"236","Lagoon","Mutmelachel",4,2,"Montipora",0,0,"D"
"237","Lagoon","Mutmelachel",4,2,"Other Lobophyllidae",0,0,"D"
"238","Lagoon","Mutmelachel",4,2,"Other Merulinidae",0,0,"D"
"239","Lagoon","Mutmelachel",4,2,"Other Pocillopora",0,0,"D"
"240","Lagoon","Mutmelachel",4,2,"Other Scleractinia",0,0,"D"
"241","Lagoon","Mutmelachel",4,2,"Pocillopora cf. damicornis",0,0,"D"
"242","Lagoon","Mutmelachel",4,2,"Pocillopora cf. verrucosa",0,0,"D"
"243","Lagoon","Mutmelachel",4,2,"Porites cf. cylindrica",9.2,2,"D"
"244","Lagoon","Mutmelachel",4,2,"Porites Massive",8.5,3,"D"
"245","Lagoon","Mutmelachel",4,2,"Porites cf. nigrescens",0,0,"D"
"246","Lagoon","Mutmelachel",4,2,"Porites cf. rus",3.1,3,"D"
"248","Lagoon","Mutmelachel",4,2,"Stylophora cf. pistillata",0,0,"D"
"250","Lagoon","Mutmelachel",4,3,"Acropora cf. subglabra",2.9,2,"D"
"251","Lagoon","Mutmelachel",4,3,"Acropora cf. humilis",0,0,"D"
"252","Lagoon","Mutmelachel",4,3,"Acropora cf. hyacinthus",0,0,"D"
"253","Lagoon","Mutmelachel",4,3,"Acropora cf. muricata",14.5,4,"D"
"254","Lagoon","Mutmelachel",4,3,"Acropora cf. tenuis",0,0,"D"
"255","Lagoon","Mutmelachel",4,3,"Agariciidae",0,0,"D"
"256","Lagoon","Mutmelachel",4,3,"Anacropora spinosa",0,0,"D"
"259","Lagoon","Mutmelachel",4,3,"Fungiidae",0,0,"D"
"261","Lagoon","Mutmelachel",4,3,"Goniastrea spp.",0,0,"D"
"264","Lagoon","Mutmelachel",4,3,"Isopora cf. brueggemanni",18.4,5,"D"
