"","Date","Site.N","Site","Location","Bag","Genus","Species","Species_TB","Plot","Photo.1","Photo.2","Tag","ID","Dewer","full_VOLmm3","full_SAmm2","live_SAmm2","Mass_g","SD_gcm3","SAV","Protein_mgml","chl_a","chl_c","zoox","AFDW_5ml","col","colony_area","branch_density","branch_width","branch_height","polyp_size","polyp_density","base_ratio","height","chl_t","protein","biomass"
"36","10/02/2019","Site 2","Pats Dropoff","Outer",11,"Pocillopora","Pocillopora cf. damicornis","Pocillopora cf. damicornis",2,"IMG_1463","IMG_1464",1,"s2_pdam_1","green",12338.7,9645.4,9428.3,25,2.0261453799833,0.781719305923639,12.6376080063876,1.97066628130204,0.297007517261861,0.278814844669771,0.045,"#D2BB94",131.875,0.159241706161137,1.84166666666667,1.64166666666667,0.05,102.4,1.38461538461538,2,2.2676737985639,2.01058642698911,1.43185940201309
"37","10/02/2019","Site 2","Pats Dropoff","Outer",10,"Pocillopora","Pocillopora cf. damicornis","Pocillopora cf. damicornis",2,"IMG_1459","IMG_1460",2,"s2_pdam_2","green",12586.8,8153.6,7733.7,22.3,1.77169733371469,0.647789747989958,7.6311010908866,3.01034522285581,0.585808477830792,0.345727142247566,0.037,"#704014",38.75,0.258064516129032,1.275,1.53333333333333,0.075,80,1.91194968553459,2.9,3.59615370068661,1.48010029304601,1.43527677567012
"38","10/02/2019","Site 2","Pats Dropoff","Outer",13,"Pocillopora","Pocillopora cf. damicornis","Pocillopora cf. damicornis",2,"IMG_1471","IMG_1472",3,"s2_pdam_3","green",3395.6,3269.5,3180.4,8.4,2.47378961008364,0.962863705972435,3.97744140819126,1.5922104766696,-0.296238704251037,0.364733995723808,0.04,"#E5B984",33.125,0.754716981132076,1,1.4,0.025,189.44,1.4,2.55,1.29597177241856,1.87591564340551,3.77311030059112
"39","10/02/2019","Site 2","Pats Dropoff","Outer",9,"Porites","Porites cf. rus","Porites cf. rus",1,"IMG_1453","IMG_1454",1,"s2_prus_1","green",10052.7,4928.4,4729.3,12.7,1.26334218667622,0.490256349040556,5.58621090241232,2.23564611041803,0.372286485314952,0.403714231341999,0.036,"#E6CA95",323.125,0.105222437137331,1.33333333333333,1.85,0.05,110.08,1.17464114832536,6.025,2.60793259573299,1.77178786577685,2.28363605607595
"40","10/02/2019","Site 2","Pats Dropoff","Outer",7,"Porites","Porites cf. rus","Porites cf. rus",1,"IMG_1447","IMG_1448",2,"s2_prus_2","green",7400.4,3201,3106.4,9.2,1.24317604453813,0.432544186800713,4.47750648259198,2.74131499484935,0.366994744720577,0.489427357345204,0.021,"#A48460",1360.625,0.0683509416628388,1.925,3.55,0.075,51.2,1.40180878552972,19.675,3.10830973956992,2.16207176277619,2.02807107906258
"41","10/02/2019","Site 2","Pats Dropoff","Outer",8,"Porites","Porites cf. rus","Porites cf. rus",1,"IMG_1451","IMG_1452",3,"s2_prus_3","green",7481.4,3321,3215.5,10.2,1.36338118533964,0.443900874167936,3.01458897937277,1.08167241486549,0.441631581402581,0.269786969367128,0.037,"#F9ECC1",199.375,0.150470219435737,1.38333333333333,3.25833333333333,0.05,115.2,1.16591928251121,11.25,1.52330399626807,1.40627693020033,3.45202923340072
"42","10/02/2019","Site 2","Pats Dropoff","Outer",12,"Pocillopora","Pocillopora cf. verrucosa","Pocillopora cf. verrucosa",2,"IMG_1465","IMG_1466",1,"s2_pver_1","green",9230.2,4972.1,4685,20.2,2.18846828887781,0.538677385105415,7.56760790136426,4.13630779082177,0.66082355923159,0.722518676627535,0.054,"#BE9870",253.75,0.141871921182266,2.30833333333333,3.4,0.1,61.44,3.27272727272727,17.425,4.79713135005336,2.42292675603978,3.45784418356457
"43","10/02/2019","Site 2","Pats Dropoff","Outer",13,"Pocillopora","Pocillopora cf. verrucosa","Pocillopora cf. verrucosa",2,"IMG_1469","IMG_1470",2,"s2_pver_2","green",10576.7,6841.3,6220.8,22.1,2.08949861487988,0.646827460360982,7.524930091113,4.26781130642361,1.01878483072917,0.691430362654321,0.077,"#947D76",410.625,0.10958904109589,2.5,2.89166666666667,0.075,66.56,1.2719298245614,7.75,5.28659613715278,1.81446038076606,3.7133487654321
"44","10/02/2019","Site 2","Pats Dropoff","Outer",21,"Acropora","Acropora cf. muricata","Acropora cf. muricata",1,"IMG_1483","IMG_1484",1,"s2_stag_1","green",1844,2075.7,2036.8,2.7,1.46420824295011,1.12565075921909,6.97287260395995,1.91716879418696,-0.650149143263942,0.343921838177533,0.039,"#CCC6BC",970.625,0.195555555555556,0.966666666666667,7.83333333333333,0.125,30.72,1.41071428571429,17.65,1.26701965092301,5.13516737330122,5.74430479183032
"45","10/02/2019","Site 2","Pats Dropoff","Outer",19,"Acropora","Acropora cf. muricata","Acropora cf. muricata",1,"IMG_1479","IMG_1480",2,"s2_stag_2","green",2398.6,2808.7,2744,3.8,1.58425748353206,1.17097473526224,6.70925191219898,1.43194575437318,-0.252158992346939,0.249180029154519,0.052,"#E1DBC3",5971.875,0.1472,1.1,5.20833333333333,0.1,40.96,1.14814814814815,32.3,1.17978676202624,3.66759397532743,5.68513119533528
"46","10/02/2019","Site 2","Pats Dropoff","Outer",20,"Acropora","Acropora cf. muricata","Acropora cf. muricata",1,"IMG_1481","IMG_1482",3,"s2_stag_3","green",1711.8,2357.7,2316.6,2.7,1.57728706624606,1.37732211706975,3.24261038059023,1.60824106449106,0.418113344988345,0.197487697487697,0.022,"#93836B",3881.25,0.1728,0.908333333333333,4.58333333333333,0.1,28.16,1.03383458646617,25.5,2.02635440947941,2.09959232102449,2.84900284900285
"47","10/02/2019","Site 2","Pats Dropoff","Outer",18,"Acropora","Acropora cf. muricata","Acropora cf. muricata",1,"IMG_1475","IMG_1476",4,"s2_stag_4","green",3278.9,4081.6,4031.7,4.8,1.46390557809021,1.24480770990271,11.5402255458648,1.64625652950368,0.243172278443337,0.345077758761813,NA,"#DBD9C4",2293.75,0.1472,0.958333333333333,6,0.1,51.2,1.04347826086957,17.375,1.88942880794702,4.29355813150711,NA
